img_idx,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55
im251,0,0,0,0,0,17,15,15,14,13,13,14,15,16,16,15,15,14,13,12,0,0,0,0,0,0,0,0,0,0,0,0,26,21,20,20,17,14,11,10,9,9,9,8,7,3,4,5,6,10,21,28,0,0,16,16
im258,0,28,0,0,0,22,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
im264,28,25,25,0,0,0,20,13,14,12,0,0,11,8,9,11,11,20,22,17,0,14,22,26,28,27,0,22,17,0,0,18,22,16,0,0,0,0,0,0,0,0,0,0,0,7,5,5,27,27,0,0,0,0,0,0
im266,0,16,15,14,13,12,12,11,10,10,9,9,10,10,9,7,6,4,4,4,13,3,14,25,0,0,25,0,0,0,0,7,6,0,6,4,4,3,2,5,5,5,5,5,3,7,7,12,4,9,20,22,23,27,0,0
im267,0,0,27,0,0,0,0,0,0,25,0,27,23,24,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,24,0,0,0,0,0,0
im269,0,0,0,0,0,0,28,16,7,8,8,6,5,3,3,3,3,3,6,8,11,9,7,8,10,18,17,18,6,6,6,5,5,5,5,5,4,2,27,0,5,15,15,7,0,5,0,0,0,0,0,20,18,0,0,0
im277,0,0,0,0,0,25,19,15,14,12,11,11,12,12,12,12,12,12,10,9,7,6,6,4,15,18,23,22,0,17,14,12,10,4,0,0,0,0,0,0,15,5,8,3,19,2,10,12,10,2,23,25,27,24,15,21
im286,2,0,0,0,0,19,16,14,13,13,13,14,15,17,19,20,21,19,15,12,10,9,12,16,21,23,25,26,25,25,20,0,13,17,16,15,13,8,6,5,3,0,0,0,0,0,0,0,0,10,21,21,22,19,24,0
im292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,3,0,0,0,0,0,0,0,0,0,0,26,0,25,0,16,13,13,14,14,15,0,0,0,0,0,0,0,8,8,8,9,0,0,0,0,0,7,20
im293,16,21,0,0,0,14,14,11,10,8,7,6,8,2,2,3,4,6,12,17,0,22,17,20,0,0,0,0,0,0,0,28,24,16,14,16,17,0,21,0,18,0,15,15,11,10,11,11,12,13,0,0,24,0,0,27
im329,0,20,13,15,2,0,0,12,0,8,0,8,8,8,8,9,10,11,11,11,9,8,7,6,6,12,15,23,24,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,4,0,0,0,0,9,17,26,0,0,0
im333,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
im341,0,0,6,2,2,13,0,21,17,11,11,12,12,12,12,11,11,12,12,12,11,9,8,8,10,19,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,0,0,0,0,0
im343,15,0,0,0,0,0,0,24,16,6,12,12,12,13,14,17,18,18,19,0,0,0,16,15,12,11,13,15,17,16,16,0,5,13,0,0,16,0,15,0,12,11,10,10,10,10,11,11,0,0,5,23,0,19,21,20
im349,0,0,0,0,0,0,15,13,10,11,10,10,10,9,10,12,13,13,14,15,16,15,17,12,19,24,26,0,0,0,0,0,18,13,11,8,5,4,4,5,5,4,4,4,4,5,7,8,7,8,0,0,0,22,0,0
im354,0,0,0,0,0,0,17,18,16,14,13,13,12,12,14,15,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
im355,0,0,0,0,0,0,0,0,5,4,0,0,12,0,0,0,0,0,0,0,4,6,8,9,11,10,16,23,23,24,23,11,11,11,10,10,11,10,9,7,6,5,4,4,4,4,5,7,0,5,0,0,0,4,0,0
im364,3,16,7,0,0,0,13,12,11,10,10,12,13,15,16,16,16,15,15,16,15,15,15,21,28,0,0,0,0,27,24,18,20,19,16,13,10,6,3,2,3,2,2,3,3,5,6,6,8,9,0,0,16,0,0,28
im365,24,15,27,15,11,0,7,28,8,7,6,5,4,6,5,8,2,2,3,5,0,0,0,0,0,14,24,25,0,24,21,18,16,21,10,10,10,9,8,8,7,6,5,3,5,5,6,5,6,8,0,16,10,16,0,17
im366,28,0,0,25,0,0,0,16,13,12,12,12,13,14,14,15,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,4,3,3,2,27,4,4,5,6,6,7,8,0,0,0,0,0,0,0
im369,11,14,18,20,0,25,0,18,17,15,16,16,16,16,15,17,17,0,0,0,23,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,27
im375,0,27,0,0,0,0,0,11,9,7,6,8,5,7,8,9,10,11,13,0,0,0,0,13,0,0,0,0,0,24,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,26,0,28,0,0
im380,0,0,22,0,0,0,12,7,5,4,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,2,2,2,2,28,28,0,0,0,0,0,25,0,0,0,0
im383,0,0,0,0,0,22,0,0,0,11,9,8,8,8,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,8,0,0,0,0,0,0,0,0,0,16,0,0,25,28,23
im384,0,0,0,0,0,0,0,0,10,8,6,7,6,6,7,7,8,10,12,14,14,12,12,12,13,17,23,24,23,22,17,13,11,14,13,10,6,0,0,23,23,22,0,0,0,0,0,0,0,20,0,0,0,0,0,0
im407,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,4,3,2,2,2,3,6,8,0,14,13,13,14,17,18,19,17,15,11,13,12,13,12,11,9,8,7,6,5,5,5,5,5,5,7,0,0,0,0,0,0
im418,24,0,0,24,0,0,28,10,9,7,5,4,4,3,3,3,4,3,6,7,10,17,22,23,23,0,0,0,26,25,23,19,18,15,14,12,12,12,14,15,15,16,17,18,17,15,16,16,16,18,20,0,0,2,11,0
im432,22,0,0,12,18,0,9,0,0,9,8,9,8,8,6,7,9,10,12,14,15,0,6,13,0,5,10,16,21,8,23,0,7,10,14,16,17,17,16,16,14,14,13,12,12,12,11,12,13,0,0,0,0,3,0,15
im435,0,0,0,0,0,0,0,0,6,5,4,4,3,4,5,4,6,6,9,11,13,15,14,11,12,0,13,0,0,0,18,14,0,10,11,12,14,0,0,0,0,15,14,14,14,12,13,11,15,18,0,0,0,0,0,7
im448,0,0,23,16,14,20,0,0,0,0,0,0,0,28,6,0,0,0,5,3,0,0,0,0,0,0,0,20,26,0,28,0,20,0,0,16,18,17,15,14,13,11,10,10,9,9,8,9,10,0,26,0,0,0,22,20
im452,0,0,0,0,0,0,18,24,7,0,0,0,0,0,5,5,4,5,6,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,11,11,11,0,0,12,12,12,12,11,11,12,0,15,0,0,0,0,2,0
im459,0,0,0,0,0,0,0,10,7,0,0,0,0,3,0,2,2,3,4,0,11,10,0,0,0,0,0,0,0,22,16,11,15,11,12,14,15,16,15,14,13,12,11,11,10,10,10,11,13,0,0,0,0,0,0,0
im473,2,20,2,0,7,4,0,2,6,0,2,3,6,4,3,0,0,2,5,3,16,0,0,8,5,13,15,8,6,15,2,12,23,28,24,27,0,0,0,27,0,13,9,0,0,2,0,0,0,2,0,0,17,20,10,6
im475,26,5,13,0,0,0,0,18,16,12,12,11,11,12,13,14,15,16,17,17,17,18,17,16,23,0,20,23,23,25,23,0,0,9,12,14,13,12,8,8,6,6,5,6,6,6,6,7,8,0,0,0,0,0,0,0
im480,0,21,11,10,23,8,10,6,5,3,2,2,2,2,2,3,4,6,8,10,0,0,0,0,6,11,16,21,23,22,20,15,13,14,14,0,18,19,19,17,17,14,14,13,12,12,13,13,0,18,0,0,0,8,0,25
im484,0,0,0,0,0,0,0,13,11,9,8,7,6,5,5,4,6,6,7,10,12,12,14,15,13,12,16,21,23,24,25,16,14,12,13,15,16,15,15,14,13,12,11,9,8,8,8,6,9,12,0,26,0,0,0,0
im486,0,0,0,0,0,0,0,0,0,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,23,27,0,0,0,0,0,0,0,0,0,0,0,0,17,19,0,21,19,0,0,0,0,0,0,15,0,0,0,0,0
im488,0,0,0,0,0,0,11,9,10,9,9,10,11,11,12,12,13,14,14,14,13,11,11,10,11,11,0,17,0,0,0,0,0,0,0,0,0,0,13,10,9,9,9,9,10,9,10,10,10,10,0,0,0,0,0,0
im493,12,7,0,0,0,14,11,10,10,11,11,12,13,13,0,0,0,0,0,0,0,0,0,0,25,23,25,23,0,0,0,0,0,0,0,0,0,11,8,8,7,6,7,6,0,8,0,0,8,0,0,27,21,26,0,25
im499,20,0,0,0,18,0,23,14,0,0,0,0,6,7,0,0,6,0,7,5,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,10,0,0,0,9,9,9,10,11,0,22,0,4,16
